training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.49,0.64,0.81,0.38,0.5,0.8,or(and(!$GTrends_bin1 !$MempoolSize_bin2 !$TransactionPerDay_bin4 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) $HashRate_bin8) 
0.48,0.63,0.8,0.38,0.5,0.8,and(or(and(!$GTrends_bin1 !$MempoolSize_bin2 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) $HashRate_bin8) !$TransactionPerDay_bin4) 
0.43,0.6,0.76,0.0,0.3,-1.0,and(!$GTrends_bin1 !$MempoolCount_bin2 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) 
0.43,0.6,0.76,0.0,0.3,-1.0,and(!$GTrends_bin1 !$MempoolSize_bin2 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) 
0.42,0.61,0.8,0.0,0.3,-1.0,and(or(!$GTrends_bin1 $TransactionPerDay_bin8) !$MempoolSize_bin2 !$MempoolSize_bin8 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) 
0.51,0.63,0.78,0.38,0.5,0.8,or(and(!$GTrends_bin1 !$MempoolSize_bin2 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) $HashRate_bin8) 
0.48,0.63,0.79,0.19,0.37,0.67,or(and(!$GTrends_bin1 !$MempoolSize_bin2 !$MempoolSize_bin8 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin8) 
0.51,0.63,0.76,0.19,0.37,0.67,or(and(!$GTrends_bin1 !$MempoolSize_bin2 !$TransactionFee_bin2 $TransactionVolume_USD_bin0) $TransactionPerDay_bin8) 
0.46,0.62,0.78,0.38,0.5,0.8,or(and(!$HashRate_bin1 !$TransactionPerDay_bin0 !$TransactionFee_bin2 !$TransactionFee_bin4 $TransactionVolume_USD_bin0) $HashRate_bin8) 
0.46,0.62,0.78,0.38,0.5,0.8,and(or(and(!$HashRate_bin1 !$TransactionFee_bin2 !$TransactionFee_bin4 $TransactionVolume_USD_bin0) $HashRate_bin8) !$TransactionPerDay_bin0) 
