month,look_ahead_days,vote_based_on,training_accuracy,training_precision,test_accuracy,test_precision
23-30,7.0,precision,0.76,0.97,0.5,0.29
23-30,7.0,accuracy,0.74,0.95,0.53,0.3
23-30,2.0,precision,0.67,0.89,0.67,0.46
23-30,2.0,accuracy,0.67,0.89,0.67,0.46
23-30,1.0,precision,0.67,0.88,0.5,0.48
23-30,1.0,accuracy,0.67,0.88,0.5,0.48
23-30,3.0,precision,0.68,0.85,0.63,0.47
23-30,3.0,accuracy,0.67,0.84,0.57,0.38
23-30,4.0,precision,0.66,0.85,0.57,0.43
23-30,4.0,accuracy,0.66,0.85,0.6,0.45
23-30,6.0,precision,0.72,0.95,0.6,0.4
23-30,6.0,accuracy,0.72,0.95,0.63,0.42
23-30,5.0,precision,0.72,0.9,0.53,0.39
23-30,5.0,accuracy,0.72,0.9,0.53,0.39
14-21,7.0,precision,0.62,0.98,0.57,1.0
14-21,7.0,accuracy,0.62,0.98,0.7,0.89
14-21,2.0,precision,0.58,0.94,0.33,1.0
14-21,2.0,accuracy,0.58,0.94,0.43,0.7
14-21,1.0,precision,0.57,0.85,0.43,0.67
14-21,1.0,accuracy,0.54,0.86,0.57,0.78
14-21,3.0,precision,0.59,0.95,0.43,1.0
14-21,3.0,accuracy,0.6,0.95,0.5,1.0
14-21,4.0,precision,0.55,0.94,0.43,1.0
14-21,4.0,accuracy,0.57,0.95,0.53,1.0
14-21,6.0,precision,0.65,0.98,0.43,1.0
14-21,6.0,accuracy,0.65,0.98,0.53,1.0
14-21,5.0,precision,0.62,0.97,0.4,1.0
14-21,5.0,accuracy,0.61,0.97,0.4,1.0
20-27,7.0,precision,0.64,0.93,0.47,0.57
20-27,7.0,accuracy,0.64,0.93,0.5,0.62
20-27,2.0,precision,0.62,0.9,0.63,1.0
20-27,2.0,accuracy,0.63,0.96,0.6,1.0
20-27,1.0,precision,0.61,0.78,0.77,0.85
20-27,1.0,accuracy,0.61,0.78,0.77,0.85
20-27,3.0,precision,0.57,0.95,0.6,1.0
20-27,3.0,accuracy,0.58,0.95,0.6,0.8
20-27,4.0,precision,0.61,0.96,0.53,1.0
20-27,4.0,accuracy,0.62,0.9,0.5,0.75
20-27,6.0,precision,0.65,1.0,0.67,0.71
20-27,6.0,accuracy,0.65,1.0,0.67,0.71
20-27,5.0,precision,0.62,0.97,0.57,0.75
20-27,5.0,accuracy,0.63,0.97,0.63,0.69
12-19,7.0,precision,0.54,1.0,0.53,1.0
12-19,7.0,accuracy,0.54,1.0,0.53,1.0
12-19,2.0,precision,0.55,0.83,0.6,1.0
12-19,2.0,accuracy,0.55,0.81,0.6,1.0
12-19,1.0,precision,0.63,0.9,0.57,0.55
12-19,1.0,accuracy,0.62,0.86,0.57,0.55
12-19,3.0,precision,0.53,0.9,0.5,1.0
12-19,3.0,accuracy,0.54,0.91,0.5,0.67
12-19,4.0,precision,0.51,0.84,0.47,1.0
12-19,4.0,accuracy,0.52,0.83,0.43,0.67
12-19,6.0,precision,0.6,1.0,0.5,1.0
12-19,6.0,accuracy,0.58,1.0,0.57,1.0
12-19,5.0,precision,0.57,0.95,0.5,0.71
12-19,5.0,accuracy,0.57,0.95,0.53,0.7
10-17,7.0,precision,0.56,1.0,0.23,1.0
10-17,7.0,accuracy,0.55,1.0,0.23,1.0
10-17,2.0,precision,0.51,0.96,0.3,1.0
10-17,2.0,accuracy,0.51,0.97,0.3,1.0
10-17,1.0,precision,0.62,0.88,0.43,1.0
10-17,1.0,accuracy,0.63,0.9,0.43,1.0
10-17,3.0,precision,0.53,0.94,0.23,-1.0
10-17,3.0,accuracy,0.56,0.93,0.23,-1.0
10-17,4.0,precision,0.58,0.95,0.2,-1.0
10-17,4.0,accuracy,0.59,0.95,0.2,-1.0
10-17,6.0,precision,0.55,1.0,0.27,1.0
10-17,6.0,accuracy,0.56,0.97,0.3,1.0
10-17,5.0,precision,0.56,0.95,0.27,1.0
10-17,5.0,accuracy,0.53,0.92,0.33,1.0
21-28,7.0,precision,0.7,0.93,0.6,0.83
21-28,7.0,accuracy,0.72,0.93,0.87,0.88
21-28,2.0,precision,0.66,0.87,0.57,0.67
21-28,2.0,accuracy,0.66,0.9,0.57,0.67
21-28,1.0,precision,0.62,0.86,0.7,0.65
21-28,1.0,accuracy,0.62,0.86,0.7,0.65
21-28,3.0,precision,0.66,0.91,0.57,0.57
21-28,3.0,accuracy,0.66,0.91,0.6,0.6
21-28,4.0,precision,0.64,0.93,0.6,0.75
21-28,4.0,accuracy,0.65,0.93,0.57,0.67
21-28,6.0,precision,0.74,0.91,0.67,0.88
21-28,6.0,accuracy,0.75,0.92,0.83,0.92
21-28,5.0,precision,0.71,0.88,0.63,0.62
21-28,5.0,accuracy,0.7,0.89,0.67,0.61
1-8,7.0,precision,0.6,1.0,0.5,1.0
1-8,7.0,accuracy,0.58,1.0,0.57,1.0
1-8,2.0,precision,0.53,0.93,0.57,0.86
1-8,2.0,accuracy,0.55,0.91,0.53,0.62
1-8,1.0,precision,0.61,0.83,0.43,0.86
1-8,1.0,accuracy,0.61,0.79,0.73,0.82
1-8,3.0,precision,0.5,0.95,0.27,-1.0
1-8,3.0,accuracy,0.52,1.0,0.37,0.8
1-8,4.0,precision,0.52,1.0,0.33,1.0
1-8,4.0,accuracy,0.52,1.0,0.5,1.0
1-8,6.0,precision,0.61,1.0,0.4,1.0
1-8,6.0,accuracy,0.61,0.96,0.67,0.69
1-8,5.0,precision,0.54,0.92,0.57,0.83
1-8,5.0,accuracy,0.55,0.9,0.77,0.82
24-31,7.0,precision,0.73,0.94,0.57,1.0
24-31,7.0,accuracy,0.77,0.95,0.57,0.67
24-31,2.0,precision,0.64,0.89,0.6,1.0
24-31,2.0,accuracy,0.64,0.87,0.6,1.0
24-31,1.0,precision,0.62,0.82,0.47,0.48
24-31,1.0,accuracy,0.64,0.83,0.47,0.48
24-31,3.0,precision,0.66,0.96,0.63,0.5
24-31,3.0,accuracy,0.65,0.96,0.67,0.67
24-31,4.0,precision,0.65,0.93,0.7,1.0
24-31,4.0,accuracy,0.65,0.93,0.7,1.0
