training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.38,0.48,1.0,0.05,0.33,1.0,$TransactionFee_bin0 
0.43,0.52,1.0,0.0,0.3,-1.0,$TransactionVolume_USD_bin0 
0.38,0.48,1.0,0.05,0.33,1.0,and($TransactionFee_bin0 !$TransactionFee_bin1) 
0.43,0.52,1.0,0.0,0.3,-1.0,and(!$TransactionFee_bin3 $TransactionVolume_USD_bin0) 
0.43,0.52,1.0,0.0,0.3,-1.0,and($TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin4) 
0.43,0.52,1.0,0.0,0.3,-1.0,and($TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin6) 
0.52,0.6,1.0,0.24,0.43,0.83,or($TransactionFee_bin2 $TransactionVolume_USD_bin0) 
0.76,0.76,0.94,0.76,0.6,0.7,and(!$TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin5) 
0.33,0.44,1.0,0.0,0.3,-1.0,and($TransactionFee_bin0 $TransactionVolume_USD_bin0) 
0.48,0.52,0.91,0.24,0.43,0.83,or($TransactionFee_bin0 $TransactionVolume_USD_bin4) 
