Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TotalTransaction,TransactionPerDay,TransactionFee,EstimatedTransactionVolumeUSD
2016-06-14,685.56,10734585656,921476,1325.6,63,1569148.86592,22589818,22589818,196061000000,135653411,252356,38.86224972,UNKNOWN
2016-06-15,694.47,10876756116,948041,1326,59,1296253.41,24042032,24042032,196061000000,135897361,243950,69.86,222394465.105347
2016-06-16,766.31,12004751236,923577,1336.6,83,1500925,27579183,27579183,196061000000,136158582,261221,84.56,UNKNOWN
2016-06-17,748.91,11734973407,957635,1333.9,78,1452193.67,25998551,25998551,196061000000,136426741,268159,82.29,313165865.407592
2016-06-18,756.23,11852610450,920253,1333.8,59,1452193.67,25169713,25169713,196061000000,136676825,250084,78.9,UNKNOWN
2016-06-19,763.78,11974386667,870589,1333.8,57,1549656.33,5121523.25,5121523.25,196061000000,136914476,237651,70.82,154508934.862762
2016-06-20,737.23,11561085979,711992,1333.8,48,1725089.12,5421813,5421813,196061000000,137128075,213599,63.14,UNKNOWN
2016-06-21,666.65,10456853278,796829,1314.2,67,1598387.66,7458221,7458221,196061000000,137379113,251038,76.77,356169310.303524
2016-06-22,596.12,9352374507,910838,1311.7,58,1551383.97,4655512,4655512,209453000000,137630815,251702,76.28,UNKNOWN
2016-06-23,623.98,9791649877,953400,1306.6,64,1343144.51,11185524.5,11185524.5,209453000000,137868377,237562,78.85,284618179.196952
2016-06-24,665.3,10442233719,912772,1365.7,100,1457676.21,13953334,13953334,209453000000,138102726,234349,75.3,UNKNOWN
2016-06-25,665.12,10442165051,942541,1367.7,69,1353556.48,10314997,10314997,209453000000,138340415,237689,74.41,149760846.601408
2016-06-26,629.37,9883123077,789868,1367.7,53,1728387.51,2235422,2235422,209453000000,138549977,209562,62.41,UNKNOWN
2016-06-27,655.28,10292371661,752373,1367.7,55,1530560.02,796739.5,796739.5,209453000000,138729332,179355,55.03,199055373.651594
2016-06-28,647,10164806261,783963,1361.1,50,1530560.02,2943671.25,2943671.25,209453000000,138948226,218894,61.78,UNKNOWN
2016-06-29,639.89,10055423427,766831,1370.3,45,1551383.97,3458657,3458657,209453000000,139161320,213094,58.5,206884074.071743
2016-06-30,673.34,10583527799,760830,1363.9,51,1520148.05,6941538,6941538,209453000000,139386590,225270,61.68,UNKNOWN
2016-07-01,676.3,10632674990,802322,1383.2,48,1561795.94,5208828.5,5208828.5,209453000000,139614445,227855,62.5,194741108.922565
2016-07-02,703.7,11066171356,747516,1345.5,49,1634679.75,5235177,5235177,209453000000,139824440,209995,58.85,UNKNOWN
2016-07-03,658.66,10360455388,683919,1345.5,44,1551383.97,1595932,1595932,209453000000,140017860,193420,52.92,159306740.472836
2016-07-04,683.66,10756225162,619848,1352,42,1603443.84,1536470.5,1536470.5,209453000000,140198938,181078,45.47,UNKNOWN
2016-07-05,670.63,10553590036,745041,1403.3,44,1601825.83,7354263,7354263,213399000000,140412857,213919,55.14,205876443.302665
2016-07-06,677.33,10661460872,781905,1411.7,45,1538177.12,4524652,4524652,213399000000,140627615,214758,55.87,UNKNOWN
2016-07-07,640.56,10084880016,811764,1405.5,48,1485136.53,3625283.25,3625283.25,213399000000,140848560,220945,55.67,215515452.039482
