Date,ClosingPrice,MarketCap,BlockSize,EstimatedTransactionValue,GldPrice,GtrendScore,HashRate,MempoolTransactionCount,MempoolSize,MinningDifficulty,TotalTransaction,TransactionPerDay
2018-01-01,13657.2,229119155396,1037654,nan,1308.7,45,15177350.2495,112829570,112829570,1873110000000,287853824,293150
2018-01-02,14982.1,251377913955,1043200,nan,1370.5,54,14975580.9597,120608745,120608745,1931140000000,288095605,241781
2018-01-03,15201,255080562912,1041680,nan,1374.2,54,16415540.6674,115056825,115056825,1931140000000,288439440,343835
2018-01-04,15599.2,261795321110,1064936,nan,1377.4,52,15071578.2735,113965234,113965234,1931140000000,288836539,397099
2018-01-05,17429.5,292544135538,1066160,nan,1378.4,50,16127548.7258,103032040,103032040,1931140000000,289261469,424930
2018-01-06,17527,294217423675,1069002,nan,1376.8,45,13727615.8797,109675967,109675967,1931140000000,289601053,339584
2018-01-07,16477.6,276634797271,1053001,nan,1376.8,44,16127548.7258,105498670,105498670,1931140000000,289957691,356638
2018-01-08,15170.1,254715263101,1048723,nan,1376.8,50,15551564.8428,115871116,115871116,1931140000000,290330419,372728
2018-01-09,14595.4,245095808695,1050963,nan,1370,49,15935554.0981,135162712,135162712,1931140000000,290676440,346021
2018-01-10,14973.3,251472635522,1057310,nan,1377,50,15743559.4704,136416014,136416014,1931140000000,291031478,355038
2018-01-11,13405.8,225178724050,1054956,nan,1380.1,55,15935554.0981,137385986,137385986,1931140000000,291379345,347867
2018-01-12,13980.6,234865160377,1057949,nan,1394.4,46,18527481.5719,136816732,136816732,1931140000000,291714119,334774
2018-01-13,14360.2,241268592240,1053732,nan,1337.4,40,17087521.8643,128975275,128975275,1931140000000,292019024,304905
2018-01-14,13772,231413491364,1014499,nan,1337.4,38,16501289.1138,125504223,125504223,2227850000000,292283477,264453
2018-01-15,13819.8,232242775485,1050907,nan,1341.8,37,17165770.5546,124893177,124893177,2227850000000,292519674,236197
2018-01-16,11490.5,193121120762,1059251,nan,1396.8,76,16612036.0206,74153761,74153761,2227850000000,292791963,272289
2018-01-17,11188.6,188070430523,1050755,nan,1399.7,100,17608758.1818,126866445,126866445,2227850000000,293098292,306329
2018-01-18,11474.9,192907550324,1061349,nan,1387.4,70,18494733.4362,113686441,113686441,2227850000000,293412701,314409
2018-01-19,11607.4,195158837709,1051139,nan,1394.3,51,19159214.877,105197580,105197580,2227850000000,293720767,308066
2018-01-20,12899.2,216907619830,1047523,nan,1394,42,18273239.6226,101244832,101244832,2227850000000,293963593,242826
2018-01-21,11600.1,195089460991,1116916,nan,1394,39,19712949.4111,117081287,117081287,2227850000000,294200084,236491
2018-01-22,10931.4,183866421285,1071050,nan,1394,45,20709671.5723,128425151,128425151,2227850000000,294417746,217662
2018-01-23,10868.4,182830257191,1078088,nan,1398.2,43,18494733.4362,134140416,134140416,2227850000000,294667996,250250
2018-01-24,11359.4,191115225673,1069566,nan,1419.1,40,19602202.5043,119615886,119615886,2227850000000,294934255,266259
2018-01-25,11259.4,189455303273,1074956,nan,1425.9,39,19491455.5975,113932976,113932976,2227850000000,295186059,251804
2018-01-26,11171.4,187995804677,1105547,nan,1416,39,20445148.5648,101977365,101977365,2603080000000,295424676,238617
2018-01-27,11440.7,192550550498,1044745,nan,1403.6,32,20056949.5414,89078958,89078958,2603080000000,295643682,219006
2018-01-28,11786.3,198389948175,1032040,nan,1403.6,31,20315748.8903,79344620,79344620,2603080000000,295836234,192552
2018-01-29,11296.4,190164444830,1025466,nan,1403.6,32,20445148.5648,53321100,53321100,2603080000000,296050090,213856
2018-01-30,10106.3,170151556678,1012350,nan,1398.5,35,19151151.8202,57197940,57197940,2603080000000,296280251,230161
2018-01-31,10221.1,172099559942,996176,nan,1401.7,38,21609745.6349,50926185,50926185,2603080000000,296519972,239721
2018-02-01,9170.54,154428564694,1051847,nan,1406.7,49,15139761.9119,47692671,47692671,2603080000000,296728449,208477
2018-02-02,8830.75,148725283812,1053140,nan,1396.2,65,20703947.9137,60685264,60685264,2603080000000,296981107,252658
2018-02-03,9174.91,154540000411,1022506,nan,1394.5,42,21739145.3094,37019643,37019643,2603080000000,297219014,237907
2018-02-04,8277.01,139433682759,995891,nan,1394.5,37,20445148.5648,41031050,41031050,2603080000000,297410005,190991
2018-02-05,6955.27,117184385122,988244,nan,1394.5,64,23033142.054,16003254,16003254,2603080000000,297582804,172799
2018-02-06,7754,130658094648,1106470,nan,1387,80,23938939.7752,25567753,25567753,2603080000000,297804410,221606
2018-02-07,7621.3,128435001186,1067332,nan,1372.3,52,24293141.3193,28695624,28695624,2874670000000,298049615,245205
2018-02-08,8265.59,139306699929,1070469,nan,1376.4,43,20149017.2119,23892454,23892454,2874670000000,298257428,207813
2018-02-09,8736.98,147266052809,1049296,nan,1372.3,38,18720008.899,31655746,31655746,2874670000000,298435028,177600
2018-02-10,8621.9,145341842785,1076082,nan,1383.1,31,19291612.2242,34120351,34120351,2874670000000,298614008,178980
2018-02-11,8129.97,137064586975,1033401,nan,1383.1,28,20434818.8745,28948400,28948400,2874670000000,298790456,176448
2018-02-12,8926.57,150513128412,1002464,nan,1383.1,31,21578025.5248,17677530,17677530,2874670000000,298938478,148022
2018-02-13,8598.31,144995984203,1042310,nan,1387,29,23721537.9942,27950172,27950172,2874670000000,299124293,185815
2018-02-14,9494.63,160131558835,1037702,148097.50308228,1415.1,29,23435736.3316,65294057,65294057,2874670000000,299312756,188463
2018-02-15,10166.4,171477807437,1015979,130151.06430121,1413.7,31,25579248.8009,11371184,11371184,2874670000000,299510670,197914
2018-02-16,10233.9,172637061144,1062490,106729.74900057,1415,28,18720008.899,16345690,16345690,2874670000000,299706704,196034
2018-02-17,11112.7,187482083882,989433,80893.89617716,1350.5,26,22435430.5125,38107542,38107542,2874670000000,299892034,185330
