Date,CPrice,MCap
2018-01-01,13657.20,229119155396
2018-01-02,14982.10,251377913955
2018-01-03,15201,255080562912
2018-01-04,15599.2,261795321110
2018-01-05,17429.5,292544135538
2018-01-06,17527,294217423675
2018-01-07,16477.6,276634797271
2018-01-08,15170.1,254715263101
2018-01-09,14595.4,245095808695
2018-01-10,14973.3,251472635522
2018-01-11,13405.8,225178724050
2018-01-12,13980.6,234865160377
2018-01-13,14360.2,241268592240
2018-01-14,13772,231413491364
2018-01-15,13819.8,232242775485
2018-01-16,11490.5,193121120762
2018-01-17,11188.6,188070430523
2018-01-18,11474.9,192907550324
2018-01-19,11607.4,195158837709
2018-01-20,12899.2,216907619830
2018-01-21,11600.1,195089460991
2018-01-22,10931.4,183866421285
2018-01-23,10868.4,182830257191
2018-01-24,11359.4,191115225673
2018-01-25,11259.4,189455303273
2018-01-26,11171.4,187995804677
2018-01-27,11440.7,192550550498
2018-01-28,11786.3,198389948175
2018-01-29,11296.4,190164444830
2018-01-30,10106.3,170151556678
2018-01-31,10221.1,172099559942
2018-02-01,9170.54,154428564694
2018-02-02,8830.75,148725283812
2018-02-03,9174.91,154540000411
2018-02-04,8277.01,139433682759
2018-02-05,6955.27,117184385122
2018-02-06,7754,130658094648
2018-02-07,7621.3,128435001186
2018-02-08,8265.59,139306699929
2018-02-09,8736.98,147266052809
2018-02-10,8621.9,145341842785
2018-02-11,8129.97,137064586975
2018-02-12,8926.57,150513128412
2018-02-13,8598.31,144995984203
2018-02-14,9494.63,160131558835
2018-02-15,10166.4,171477807437
2018-02-16,10233.9,172637061144
2018-02-17,11112.7,187482083882
2018-02-18,10551.8,178040648022
2018-02-19,11225.3,189426791571
2018-02-20,11403.7,192457815912
2018-02-21,10690.4,180442459820
2018-02-22,10005,168892273935
2018-02-23,10301.1,173909350860
2018-02-24,9813.07,165687799108
2018-02-25,9664.73,163204062358
2018-02-26,10366.7,175076064010
2018-02-27,10725.6,181158869820
2018-02-28,10397.9,175644310997
2018-03-01,10951,185009753075
2018-03-02,11086.4,187318996197
2018-03-03,11489.7,194159120569
2018-03-04,11512.6,194567395376
2018-03-05,11573.3,195614809925
2018-03-06,10779.9,182225316082
2018-03-07,9965.57,168479670395
2018-03-08,9395.01,158852238332
2018-03-09,9337.55,157898203939
2018-03-10,8866,149939797150
2018-03-11,9578.63,162009710243
2018-03-12,9205.12,155710928717
2018-03-13,9194.85,155555594312
2018-03-14,8269.81,139920843550
2018-03-15,8300.86,140460819364
2018-03-16,8338.35,141111773179
2018-03-17,7916.88,133993486925
2018-03-18,8223.68,139201713268
2018-03-19,8630.65,146107514353
2018-03-20,8913.47,150909503835
2018-03-21,8929.28,151193917440
2018-03-22,8728.47,147809220250
2018-03-23,8879.62,150383574951
2018-03-24,8668.12,146818882936
2018-03-25,8495.78,143914265310
2018-03-26,8209.4,139078211968
2018-03-27,7833.04,132717053150
2018-03-28,7954.48,134788265876
2018-03-29,7165.7,121436043045
2018-03-30,6890.52,116786562165
2018-03-31,6973.53,118204645927
2018-04-01,6844.23,116026809075
2018-04-02,7083.8,120101932910
2018-04-03,7456.11,126429245883
2018-04-04,6853.84,116229557118
