Day,GtrenScore_US
2016-06-01,44
2016-06-02,38
2016-06-03,49
2016-06-04,44
2016-06-05,38
2016-06-06,47
2016-06-07,44
2016-06-08,37
2016-06-09,36
2016-06-10,43
2016-06-11,34
2016-06-12,65
2016-06-13,82
2016-06-14,63
2016-06-15,59
2016-06-16,83
2016-06-17,78
2016-06-18,59
2016-06-19,57
2016-06-20,48
2016-06-21,67
2016-06-22,58
2016-06-23,64
2016-06-24,100
2016-06-25,69
2016-06-26,53
2016-06-27,55
2016-06-28,50
2016-06-29,45
2016-06-30,51
2016-07-01,48
2016-07-02,49
2016-07-03,44
2016-07-04,42
2016-07-05,44
2016-07-06,45
2016-07-07,48
2016-07-08,50
2016-07-09,62
2016-07-10,52
2016-07-11,45
2016-07-12,41
2016-07-13,41
2016-07-14,37
2016-07-15,39
2016-07-16,33
2016-07-17,40
2016-07-18,34
2016-07-19,38
2016-07-20,36
2016-07-21,36
2016-07-22,33
2016-07-23,31
2016-07-24,31
2016-07-25,33
2016-07-26,42
2016-07-27,34
2016-07-28,30
2016-07-29,32
2016-07-30,34
2016-07-31,34
2016-08-01,36
2016-08-02,51
2016-08-03,96
2016-08-04,50
2016-08-05,43
2016-08-06,36
2016-08-07,45
2016-08-08,39
2016-08-09,38
2016-08-10,32
2016-08-11,31
2016-08-12,30
2016-08-13,28
2016-08-14,28
2016-08-15,33
2016-08-16,31
2016-08-17,34
2016-08-18,33
2016-08-19,31
2016-08-20,30
2016-08-21,26
2016-08-22,28
2016-08-23,34
2016-08-24,31
2016-08-25,32
2016-08-26,31
2016-08-27,29
2016-08-28,30
2016-08-29,31
2016-08-30,31
2016-08-31,34
2016-09-01,58
2016-09-02,55
2016-09-03,57
2016-09-04,66
2016-09-05,68
2016-09-06,55
2016-09-07,58
2016-09-08,76
2016-09-09,64
2016-09-10,68
2016-09-11,61
2016-09-12,61
2016-09-13,61
2016-09-14,63
2016-09-15,63
2016-09-16,56
2016-09-17,55
2016-09-18,63
2016-09-19,52
2016-09-20,61
2016-09-21,59
2016-09-22,56
2016-09-23,57
2016-09-24,64
2016-09-25,56
2016-09-26,56
