Date,EstimatedTransactionVolUSD
2016-06-13,320800345.005743
2016-06-15,222394465.105347
2016-06-17,313165865.407592
2016-06-19,154508934.862762
2016-06-21,356169310.303524
2016-06-23,284618179.196952
2016-06-25,149760846.601408
2016-06-27,199055373.651594
2016-06-29,206884074.071743
2016-07-01,194741108.922565
2016-07-03,159306740.472836
2016-07-05,205876443.302665
2016-07-07,215515452.039482
2016-07-09,142818088.57251
2016-07-11,168883000.517706
2016-07-13,188298120.080821
2016-07-15,186638357.60104
2016-07-17,160525091.73713
2016-07-19,156439533.725446
2016-07-21,139720440.859401
2016-07-23,115059449.184302
2016-07-25,137031791.592569
2016-07-27,175506620.63206
2016-07-29,155222292.486318
2016-07-31,148643265.777208
2016-08-02,310244260.752019
2016-08-04,206097159.659288
2016-08-06,113350615.841685
2016-08-08,137092319.617967
2016-08-10,174758412.072643
2016-08-12,151649427.882601
2016-08-14,117723115.107671
2016-08-16,180903207.515641
2016-08-18,144427244.614815
2016-08-20,112011435.467294
2016-08-22,144303111.47118
2016-08-24,158027182.139021
2016-08-26,126548713.755308
2016-08-28,81677102.5935288
2016-08-30,153671377.365597
2016-09-01,158171124.595231
2016-09-03,102592239.860787
2016-09-05,134025129.128212
2016-09-07,141851022.647114
2016-09-09,147264804.281444
2016-09-11,105076958.787512
2016-09-13,143083944.241577
2016-09-15,122887826.653529
2016-09-17,92192153.8006557
2016-09-19,134357326.466812
2016-09-21,132006186.045231
2016-09-23,146146259.916553
2016-09-25,152870734.288329
2016-09-27,145940667.050968
2016-09-29,153616273.138195
2016-10-01,103988578.282907
2016-10-03,152745154.983948
2016-10-05,148295757.862839
2016-10-07,141600454.506918
2016-10-09,119547253.301373
2016-10-11,191535068.092531
2016-10-13,173562327.839718
2016-10-15,129491942.695046
2016-10-17,162092886.470044
2016-10-19,153607523.148711
2016-10-21,156669875.507655
2016-10-23,103115122.848848
2016-10-25,177371950.411646
2016-10-27,258545483.966802
2016-10-29,166370935.98013
2016-10-31,210506851.255889
2016-11-02,164356161.509587
2016-11-04,195355546.311458
2016-11-06,114742910.971948
2016-11-08,207694374.685563
2016-11-10,187826423.936318
2016-11-12,121310139.566461
2016-11-14,167411486.834791
2016-11-16,266411874.867395
2016-11-18,195698807.196307
2016-11-20,128952148.560894
2016-11-22,221241977.735407
2016-11-24,254076694.025221
2016-11-26,182382884.916916
2016-11-28,200604646.382972
2016-11-30,206457187.757014
2016-12-02,228141076.849329
2016-12-04,100381256.301266
2016-12-06,212285749.937543
2016-12-08,233884533.88058
2016-12-10,149430380.862365
2016-12-12,212868618.324386
2016-12-14,206398743.80016
2016-12-16,239348887.735369
2016-12-18,158395598.324621
2016-12-20,243951480.369348
2016-12-22,338878078.662079
2016-12-24,202692630.219886
2016-12-26,243945751.84128
2016-12-28,329559351.888611
2016-12-30,317816520.587309
2017-01-01,166788994.438506
2017-01-03,341754284.937987
2017-01-05,565779976.610049
2017-01-07,295587982.400845
2017-01-09,272509052.560264
2017-01-11,413905306.443591
2017-01-13,246890176.531767
2017-01-15,157085269.544606
2017-01-17,291783384.764451
2017-01-19,232438071.962038
2017-01-21,210309696.023502
2017-01-23,196893334.811123
2017-01-25,266770577.731972
2017-01-27,172519954.089837
2017-01-29,133740567.748452
2017-01-31,223566247.35351
2017-02-02,212437107.387626
2017-02-04,215469986.8539
2017-02-06,218963129.707101
2017-02-08,269607888.246346
2017-02-10,289197728.970044
2017-02-12,116966457.119016
2017-02-14,234339661.006721
2017-02-16,212531599.764896
2017-02-18,179904049.623422
2017-02-20,192433479.754835
2017-02-22,220185412.839073
2017-02-24,369319167.07207
2017-02-26,199581169.873158
2017-02-28,255334271.595937
2017-03-02,431801396.598851
2017-03-04,261984344.995303
2017-03-06,292613411.670063
2017-03-08,315179702.137921
2017-03-10,329245440.202684
2017-03-12,209168663.97439
2017-03-14,347466704.53874
2017-03-16,526589907.076464
2017-03-18,393335618.185788
2017-03-20,301488144.209954
2017-03-22,388745237.566684
2017-03-24,415158515.539297
2017-03-26,234975161.590919
2017-03-28,426602354.326583
2017-03-30,345704441.184584
2017-04-01,275732331.549016
2017-04-03,357722808.461735
2017-04-05,376232820.376534
2017-04-07,411459319.524365
2017-04-09,218412547.317557
2017-04-11,353047267.58305
2017-04-13,296565393.518839
2017-04-15,274787437.027829
2017-04-17,355041523.977341
2017-04-19,305279308.340359
2017-04-21,324930181.583255
2017-04-23,211860005.848388
2017-04-25,393127864.708434
2017-04-27,398959237.374387
2017-04-29,363036770.92892
2017-05-01,446976193.582856
2017-05-03,468116196.038201
2017-05-05,590516942.167419
2017-05-07,442601453.184986
2017-05-09,759833620.667136
2017-05-11,668519296.13184
2017-05-13,426951909.091612
2017-05-15,704107293.761399
2017-05-17,944733565.5861
2017-05-19,845185438.857744
2017-05-21,543457757.444168
2017-05-23,1021925535.08152
2017-05-25,1318459470.59989
2017-05-27,680256464.029665
2017-05-29,568563505.464611
2017-05-31,840617433.492568
2017-06-02,722150565.070563
2017-06-04,634490205.034222
2017-06-06,888558904.123181
2017-06-08,798267726.251526
2017-06-10,681180409.132709
2017-06-12,891415561.221529
2017-06-14,822548360.611942
2017-06-16,614860742.108335
2017-06-18,531175986.631959
2017-06-20,699302928.883872
2017-06-22,691666616.597193
2017-06-24,433119966.233253
2017-06-26,702272424.580716
2017-06-28,712593812.798101
2017-06-30,771010449.218829
2017-07-02,461231537.247367
2017-07-04,567987081.544197
2017-07-06,536928215.088525
2017-07-08,561328143.364668
2017-07-10,717332560.155932
2017-07-12,557154714.150382
2017-07-14,505928728.905514
2017-07-16,461680301.680574
2017-07-18,612361551.304947
2017-07-20,654227781.226007
2017-07-22,500549276.748631
2017-07-24,568575160.453683
2017-07-26,675892184.452299
2017-07-28,1311599707.74372
