Date,Price,Open,High,Low
1/2/2009,878.8,881.5,881.5,868.9
1/3/2009,857.2,882,883.5,847
1/4/2009,857.2,882,883.5,847
1/5/2009,857.2,882,883.5,847
1/6/2009,865.4,855.1,867.6,840
1/7/2009,841.1,862,867,837.7
1/8/2009,853.9,837.9,861,837.9
1/9/2009,854.3,855.9,862.1,855.9
1/10/2009,820.3,844.4,844.4,815.4
1/11/2009,820.3,844.4,844.4,815.4
1/12/2009,820.3,844.4,844.4,815.4
1/13/2009,820.1,825.6,825.6,815.7
1/14/2009,808.2,825.9,827.1,814
1/15/2009,806.7,805.6,808.8,805.6
1/16/2009,839.3,834,842.5,834
1/17/2009,854.6,838.7,862.7,824
1/18/2009,854.6,838.7,862.7,824
1/19/2009,854.6,838.7,862.7,824
1/20/2009,854.6,838.7,862.7,824
1/21/2009,849.6,850.5,851,844.5
1/22/2009,858.2,856.8,860.9,846.2
1/23/2009,895.3,875,899.1,875
1/24/2009,908.5,907.3,911.6,901.2
1/25/2009,908.5,907.3,911.6,901.2
1/26/2009,908.5,907.3,911.6,901.2
1/27/2009,899.2,902.8,903,895.2
1/28/2009,888.1,886.1,894.6,883.7
1/29/2009,905.1,888.1,909.7,874.2
1/30/2009,927.3,909.8,930.3,902
1/31/2009,906.7,929,929,902.2
2/1/2009,906.7,929,929,902.2
2/2/2009,906.7,929,929,902.2
2/3/2009,892,903.2,913.3,889.8
2/4/2009,901.6,900.1,909.2,897
2/5/2009,913.6,906.3,924.4,904.4
2/6/2009,913.9,914.5,918.5,909.5
2/7/2009,892.4,910,911,891.8
2/8/2009,892.4,910,911,891.8
2/9/2009,892.4,910,911,891.8
2/10/2009,913.7,898,917.5,892
2/11/2009,943.8,913.7,947.2,912.2
2/12/2009,948.5,938.8,952.8,936.4
2/13/2009,941.5,947.3,947.3,934.2
2/14/2009,967,939.5,973.8,937.3
2/15/2009,967,939.5,973.8,937.3
2/16/2009,967,939.5,973.8,937.3
2/17/2009,967,939.5,973.8,937.3
2/18/2009,977.7,968.4,988,962.2
2/19/2009,976.1,982.7,986.2,972
2/20/2009,1001.8,974,1004.9,971.6
2/21/2009,994.6,995.6,996.5,980
2/22/2009,994.6,995.6,996.5,980
2/23/2009,994.6,995.6,996.5,980
2/24/2009,969.1,988,991.6,963.2
2/25/2009,965.7,963.3,977.5,953.1
2/26/2009,941.8,953,956,933
2/27/2009,941.5,943.4,963.2,929
2/28/2009,939,945,955.8,924.5
3/1/2009,939,945,955.8,924.5
3/2/2009,939,945,955.8,924.5
3/3/2009,912.9,927,931.8,906.4
3/4/2009,906,914.9,923.2,900.1
3/5/2009,927,912,932.6,908.9
3/6/2009,942.1,933.5,944.5,931.8
3/7/2009,917.7,940.5,940.5,914.5
3/8/2009,917.7,940.5,940.5,914.5
3/9/2009,917.7,940.5,940.5,914.5
3/10/2009,895.6,921.6,921.8,892.1
3/11/2009,910.4,894.7,912.4,894.1
3/12/2009,923.7,909.2,927.5,908
3/13/2009,929.8,924.4,937,924.4
3/14/2009,921.6,926.4,929.6,916.7
3/15/2009,921.6,926.4,929.6,916.7
3/16/2009,921.6,926.4,929.6,916.7
3/17/2009,916.4,923.2,924.4,912.4
3/18/2009,888.7,915.4,944,885
3/19/2009,958.3,938,960.8,933.9
3/20/2009,955.8,960.6,960.6,954.1
3/21/2009,952.1,950.7,952.6,937.9
3/22/2009,952.1,950.7,952.6,937.9
3/23/2009,952.1,950.7,952.6,937.9
3/24/2009,923.3,923.3,923.3,923.3
3/25/2009,935.4,921.2,936.5,920.8
3/26/2009,939.6,939.6,943,937.6
3/27/2009,923,923,923,923
3/28/2009,915.5,924.6,932.5,908.6
3/29/2009,915.5,924.6,932.5,908.6
3/30/2009,915.5,924.6,932.5,908.6
3/31/2009,922.6,918,924.5,911.6
4/1/2009,926.1,918.6,932.5,916.9
4/2/2009,907.4,926.9,930.3,894.9
4/3/2009,895.6,904.6,910.3,891.3
4/4/2009,871.5,895,895,865.1
4/5/2009,871.5,895,895,865.1
4/6/2009,871.5,895,895,865.1
4/7/2009,882.2,872.2,884.7,872.2
4/8/2009,884.8,884,889.1,879
4/9/2009,882.2,882.4,886.1,874.7
4/10/2009,894.7,882.5,899.4,882.5
4/11/2009,894.7,882.5,899.4,882.5
4/12/2009,894.7,882.5,899.4,882.5
4/13/2009,894.7,882.5,899.4,882.5
4/14/2009,890.9,896.1,897.8,887.4
4/15/2009,892.8,890,895.3,888.9
4/16/2009,879.3,890.9,893.4,872.8
4/17/2009,867.4,874,875.7,865
4/18/2009,887,868.8,889,866.1
4/19/2009,887,868.8,889,866.1
4/20/2009,887,868.8,889,866.1
4/21/2009,882.1,886.9,895.1,880.7
4/22/2009,891.8,883.1,893,883
4/23/2009,905.9,893.6,909,892.6
4/24/2009,913.6,911.2,913.4,906.7
4/25/2009,907.4,918,918,906.3
4/26/2009,907.4,918,918,906.3
4/27/2009,907.4,918,918,906.3
4/28/2009,892.8,899.7,899.7,890.1
4/29/2009,899.8,890.1,902.5,887.8
4/30/2009,890.7,898.2,898.9,881.3
5/1/2009,887.6,884,888.5,881.5
5/2/2009,901.6,885.8,907.5,885.8
5/3/2009,901.6,885.8,907.5,885.8
5/4/2009,901.6,885.8,907.5,885.8
5/5/2009,903.7,903.5,912.3,902
5/6/2009,910.5,901.3,911.1,901.3
5/7/2009,915,922.4,924,910.4
5/8/2009,914.4,910.1,915.3,910.1
5/9/2009,913,913.1,914.4,913.1
5/10/2009,913,913.1,914.4,913.1
5/11/2009,913,913.1,914.4,913.1
5/12/2009,923.5,918.5,923.3,916.1
5/13/2009,925.5,922,929.7,921.2
5/14/2009,928,922.6,922.6,922.6
5/15/2009,930.9,925.2,931.6,925.2
5/16/2009,921.3,929.6,932.9,918.7
5/17/2009,921.3,929.6,932.9,918.7
5/18/2009,921.3,929.6,932.9,918.7
5/19/2009,926.3,926.3,926.3,926.3
5/20/2009,937,933,940.5,932
5/21/2009,950.8,939.1,943.9,937.4
5/22/2009,958.5,956.9,958.7,956.9
5/23/2009,953.1,953,953.5,944
5/24/2009,953.1,953,953.5,944
5/25/2009,953.1,953,953.5,944
5/26/2009,953.1,953,953.5,944
5/27/2009,953.2,947.2,956,947.2
5/28/2009,961.5,948.6,964.9,944
5/29/2009,978.8,959.2,980.4,959
5/30/2009,978.6,978.8,988.1,973
5/31/2009,978.6,978.8,988.1,973
6/1/2009,978.6,978.8,988.1,973
6/2/2009,983.2,974.7,986.5,969.8
6/3/2009,964.5,981.7,990.3,961
6/4/2009,981.2,963.6,982,960.9
6/5/2009,961.7,981.4,983,954
6/6/2009,951.7,958,960.1,944.4
6/7/2009,951.7,958,960.1,944.4
6/8/2009,951.7,958,960.1,944.4
6/9/2009,954,953.5,963.7,948.4
6/10/2009,954,956,966,949.2
6/11/2009,961.3,954.3,961.9,943.1
6/12/2009,940.1,955.9,956.5,935.8
6/13/2009,926.9,938.5,938.5,927.4
6/14/2009,926.9,938.5,938.5,927.4
6/15/2009,926.9,938.5,938.5,927.4
6/16/2009,931.6,930.9,938.6,930.9
6/17/2009,935.4,931.5,937.8,930.4
6/18/2009,934,942,942,931
6/19/2009,935.6,932,936.5,932
6/20/2009,920.6,925,926.2,919
6/21/2009,920.6,925,926.2,919
6/22/2009,920.6,925,926.2,919
6/23/2009,923.9,921.9,926.5,917.3
6/24/2009,934.1,925.4,942.7,922.9
6/25/2009,939.1,932.3,938,932.3
6/26/2009,940.7,945.3,946,939.6
6/27/2009,940.4,940.2,942.5,934.8
6/28/2009,940.4,940.2,942.5,934.8
6/29/2009,940.4,940.2,942.5,934.8
6/30/2009,927.1,941.4,943.9,925.3
7/1/2009,941,929.3,944.2,928
7/2/2009,930.7,941.4,941.5,926.6
7/3/2009,924,928.7,933.7,920.2
7/4/2009,924,928.7,933.7,920.2
7/5/2009,924,928.7,933.7,920.2
7/6/2009,924,928.7,933.7,920.2
7/7/2009,928.8,924.2,931.7,921.2
7/8/2009,909,919.6,919.6,905.6
7/9/2009,915.9,907.2,917.4,907.2
7/10/2009,912.2,910.7,913.5,908.5
7/11/2009,922.2,911.5,920.5,908.4
7/12/2009,922.2,911.5,920.5,908.4
7/13/2009,922.2,911.5,920.5,908.4
7/14/2009,922.5,920.2,926.2,920.2
7/15/2009,939.1,928.9,941,928.3
7/16/2009,935.1,938.4,938.4,934.8
7/17/2009,937.2,936.9,937.8,931.8
7/18/2009,948.5,954.1,954.5,950.9
7/19/2009,948.5,954.1,954.5,950.9
7/20/2009,948.5,954.1,954.5,950.9
7/21/2009,946.6,948.6,948.6,945.8
7/22/2009,953,949.2,952.2,946.4
