Date,dates_count1
6/14/2016,22589818
6/15/2016,24042032
6/16/2016,27579183
6/17/2016,25998551
6/18/2016,25169713
6/19/2016,5121523.25
6/20/2016,5421813
6/21/2016,7458221
6/22/2016,4655512
6/23/2016,11185524.5
6/24/2016,13953334
6/25/2016,10314997
6/26/2016,2235422
6/27/2016,796739.5
6/28/2016,2943671.25
6/29/2016,3458657
6/30/2016,6941538
7/1/2016,5208828.5
7/2/2016,5235177
7/3/2016,1595932
7/4/2016,1536470.5
7/5/2016,7354263
7/6/2016,4524652
7/7/2016,3625283.25
7/8/2016,3224152
7/9/2016,4269702
7/10/2016,2529951.5
7/11/2016,1509744
7/12/2016,1660717.5
7/13/2016,2022257
7/14/2016,4538665
7/15/2016,3914539.75
7/16/2016,2595855.5
7/17/2016,4132459
7/18/2016,8918986.5
7/19/2016,3230416
7/20/2016,2605997
7/21/2016,4927945
7/22/2016,2479668.5
7/23/2016,5941172.5
7/24/2016,1867842.5
7/25/2016,6723699.5
7/26/2016,9645416
7/27/2016,12551129
7/28/2016,4544973.5
7/29/2016,2114238
7/30/2016,11022328
7/31/2016,2493292
8/1/2016,3736965.5
8/2/2016,3901146.5
8/3/2016,3915224
8/4/2016,5930951.5
8/5/2016,7136876
8/6/2016,1492368
8/7/2016,2033417
8/8/2016,5898022
8/9/2016,2793474
8/10/2016,5518767
8/11/2016,2799297.5
8/12/2016,8919861
8/13/2016,2202008
8/14/2016,1505352.5
8/15/2016,5283880
8/16/2016,3746055
8/17/2016,2857970.5
8/18/2016,1017728
8/19/2016,2976515.75
8/20/2016,1048590
8/21/2016,2428266
8/22/2016,2908271
8/23/2016,4621171.5
8/24/2016,3313544
8/25/2016,2552324
8/26/2016,2511627
8/27/2016,3510094
8/28/2016,3127387.5
8/29/2016,1988807.5
8/30/2016,5281979
8/31/2016,2058093
9/1/2016,2391570.5
9/2/2016,2221966
9/3/2016,1262847.5
9/4/2016,2276533
9/5/2016,5099923.5
9/6/2016,6515973.5
9/7/2016,3347374.5
9/8/2016,3034164.5
9/9/2016,4232581
9/10/2016,1660657
9/11/2016,2555211
9/12/2016,1120860
9/13/2016,3809124
9/14/2016,2245179
9/15/2016,2341752.5
9/16/2016,8654360
9/17/2016,7676214.5
9/18/2016,2266443.5
9/19/2016,2044334.5
9/20/2016,3127980.5
9/21/2016,1581016.5
9/22/2016,2520243.75
9/23/2016,3558381.5
9/24/2016,1465014.5
9/25/2016,2538606.5
9/26/2016,2753305
9/27/2016,2568325
9/28/2016,1871335
9/29/2016,2244448
9/30/2016,3002072.5
10/1/2016,1595961.25
10/2/2016,6429674.5
10/3/2016,5356964.5
10/4/2016,7238322
10/5/2016,4772203
10/6/2016,2247681
10/7/2016,4656428
10/8/2016,1943338.5
10/9/2016,2121140
10/10/2016,14757907
10/11/2016,9529941
10/12/2016,5731935.5
10/13/2016,5563501.5
10/14/2016,3006809.5
10/15/2016,4291901.5
10/16/2016,1696010.5
10/17/2016,2268805
10/18/2016,4647785.5
10/19/2016,8980878
10/20/2016,9007670
10/21/2016,2114750
10/22/2016,5241511.5
10/23/2016,2144034.5
10/24/2016,1869831.5
10/25/2016,10362527.5
10/26/2016,26407464
10/27/2016,6790333.5
10/28/2016,1958919.5
10/29/2016,4977001.5
10/30/2016,2169649.5
10/31/2016,5910837
11/1/2016,3050214.5
11/2/2016,8211178
11/3/2016,2127630.5
11/4/2016,5180880.75
11/5/2016,3513685.5
11/6/2016,2385320
11/7/2016,6043784
11/8/2016,3862176.5
11/9/2016,6358161.5
11/10/2016,2070625.5
11/11/2016,1922114.5
11/12/2016,1931859
11/13/2016,3990637.25
11/14/2016,2890299
11/15/2016,4349847.5
11/16/2016,2678007
11/17/2016,2978346.5
11/18/2016,3123499.5
11/19/2016,3284789
11/20/2016,3218911.5
11/21/2016,13189186.25
11/22/2016,35570809
11/23/2016,43193593
11/24/2016,38839218
11/25/2016,25986362
11/26/2016,16917300
